Word,Percentage,Occurence
meter,1.0,1264
sync,0.8299050632911392,1049
work,0.44066455696202533,557
time,0.4098101265822785,518
reading,0.38212025316455694,483
use,0.3473101265822785,439
will,0.3299050632911392,417
now,0.2254746835443038,285
need,0.2199367088607595,278
bluetooth,0.21598101265822786,273
pair,0.21598101265822786,273
device,0.20806962025316456,263
data,0.1875,237
update,0.1764240506329114,223
help,0.17484177215189872,221
one,0.17405063291139242,220
keep,0.17167721518987342,217
day,0.1661392405063291,210
even,0.1629746835443038,206
connect,0.15822784810126583,200
make,0.15268987341772153,193
problem,0.15031645569620253,190
issue,0.14794303797468356,187
syncing,0.14715189873417722,186
easy,0.14477848101265822,183
take,0.1360759493670886,172
well,0.1281645569620253,162
account,0.12658227848101267,160
log,0.12262658227848101,155
one touch,0.12183544303797468,154
way,0.12104430379746836,153
new,0.12104430379746836,153
blood sugar,0.11708860759493671,148
give,0.11234177215189874,142
tried,0.1115506329113924,141
still,0.10917721518987342,138
back,0.10917721518987342,138
see,0.10838607594936708,137
doctor,0.10838607594936708,137
say,0.10680379746835443,135
using,0.1060126582278481,134
number,0.10205696202531646,129
result,0.10126582278481013,128
open,0.10126582278481013,128
sometime,0.09889240506329114,125
helpful,0.0981012658227848,124
enter,0.09651898734177215,122
always,0.0949367088607595,120
really,0.09335443037974683,118
show,0.09177215189873418,116
track,0.09098101265822785,115
want,0.09018987341772151,114
fix,0.0893987341772152,113
working,0.08860759493670886,112
android,0.08860759493670886,112
note,0.08781645569620253,111
let,0.08781645569620253,111
got,0.08781645569620253,111
never,0.08702531645569621,110
information,0.08544303797468354,108
date,0.08544303797468354,108
try,0.08544303797468354,108
useless,0.08465189873417721,107
manually,0.08386075949367089,106
thing,0.08306962025316456,105
able,0.08306962025316456,105
meal,0.0814873417721519,103
allow,0.07911392405063292,100
month,0.07911392405063292,100
used,0.07832278481012658,99
option,0.07674050632911393,97
week,0.07674050632911393,97
insulin,0.0759493670886076,96
know,0.07515822784810126,95
first,0.07436708860759493,94
turn,0.07436708860759493,94
set,0.07278481012658228,92
wish,0.07278481012658228,92
trying,0.07199367088607594,91
feature,0.07199367088607594,91
diabetes,0.07120253164556962,90
add,0.07041139240506329,89
screen,0.06962025316455696,88
read,0.06882911392405064,87
much,0.06882911392405064,87
fail,0.06882911392405064,87
frustrating,0.0680379746835443,86
find,0.06645569620253164,84
go,0.06566455696202532,83
info,0.06566455696202532,83
worked,0.06487341772151899,82
change,0.06487341772151899,82
pairing,0.06408227848101265,81
star,0.06408227848101265,81
year,0.06329113924050633,80
nothing,0.0625,79
put,0.0625,79
every time,0.0625,79
hard,0.061708860759493674,78
password,0.061708860759493674,78
delete,0.061708860759493674,78
without,0.060126582278481014,76
report,0.05933544303797468,75
works well,0.05933544303797468,75
better,0.05775316455696203,73
unable,0.05775316455696203,73
thank,0.056962025316455694,72
record,0.056962025316455694,72
old,0.05617088607594937,71
tracking,0.05617088607594937,71
test,0.055379746835443035,70
little,0.055379746835443035,70
getting,0.05458860759493671,69
verio flex,0.05458860759493671,69
bad,0.05300632911392405,67
difficult,0.05300632911392405,67
different,0.05300632911392405,67
everything,0.05221518987341772,66
simple,0.05221518987341772,66
seem,0.05221518987341772,66
a1c,0.051424050632911396,65
far,0.051424050632911396,65
synced,0.051424050632911396,65
download,0.05063291139240506,64
average,0.05063291139240506,64
button,0.05063291139240506,64
lot,0.049841772151898736,63
monitor,0.049841772151898736,63
setting,0.04746835443037975,60
error,0.04746835443037975,60
reinstall,0.04667721518987342,59
wrong,0.04667721518987342,59
another,0.04667721518987342,59
email,0.04667721518987342,59
suck,0.04667721518987342,59
carb,0.04588607594936709,58
waste,0.04509493670886076,57
uninstalled,0.04509493670886076,57
hour,0.04509493670886076,57
apps,0.04430379746835443,56
link,0.04430379746835443,56
going,0.04430379746835443,56
longer,0.04430379746835443,56
past,0.043512658227848104,55
onetouch,0.043512658227848104,55
please,0.043512658227848104,55
samsung,0.043512658227848104,55
last,0.04272151898734177,54
diabetic,0.04272151898734177,54
look,0.04272151898734177,54
daily,0.041930379746835444,53
user,0.041930379746835444,53
high,0.041930379746835444,53
location,0.041930379746835444,53
support,0.04113924050632911,52
range,0.04113924050632911,52
send,0.04113924050632911,52
slow,0.040348101265822785,51
type,0.03955696202531646,50
dont,0.03955696202531646,50
customer service,0.03955696202531646,50
people,0.038765822784810125,49
create,0.038765822784810125,49
may,0.0379746835443038,48
think,0.0379746835443038,48
convenient,0.0379746835443038,48
login,0.0379746835443038,48
nice,0.0379746835443038,48
synch,0.0379746835443038,48
sure,0.0379746835443038,48
something,0.037183544303797465,47
level,0.037183544303797465,47
finally,0.03639240506329114,46
done,0.03639240506329114,46
tell,0.03639240506329114,46
connection,0.03560126582278481,45
software,0.03560126582278481,45
unit,0.03560126582278481,45
write,0.03560126582278481,45
next,0.03481012658227848,44
constantly,0.03481012658227848,44
easier,0.03481012658227848,44
etc,0.03481012658227848,44
review,0.03481012658227848,44
less,0.03481012658227848,44
point,0.03481012658227848,44
keep track,0.03481012658227848,44
glucose,0.03401898734177215,43
testing,0.03401898734177215,43
start,0.03401898734177215,43
input,0.03401898734177215,43
automatically,0.03401898734177215,43
useful,0.03401898734177215,43
annoying,0.03322784810126582,42
often,0.03322784810126582,42
long,0.03322784810126582,42
many,0.03322784810126582,42
several times,0.03322784810126582,42
every,0.03243670886075949,41
check,0.03243670886075949,41
