Word,Percentage,Occurence
easy,1.0,984
use,0.8384146341463414,825
meter,0.46239837398373984,455
work,0.4054878048780488,399
sync,0.3252032520325203,320
reading,0.3089430894308943,304
keep,0.24796747967479674,244
doctor,0.24390243902439024,240
help,0.2184959349593496,215
time,0.20020325203252032,197
track,0.19715447154471544,194
blood sugar,0.19410569105691056,191
able,0.18902439024390244,186
nice,0.1676829268292683,165
see,0.16463414634146342,162
need,0.16056910569105692,158
excellent,0.15955284552845528,157
now,0.1524390243902439,150
result,0.15040650406504066,148
make,0.1483739837398374,146
way,0.14329268292682926,141
better,0.13109756097560976,129
really,0.12703252032520326,125
record,0.12703252032520326,125
number,0.12195121951219512,120
data,0.11991869918699187,118
bluetooth,0.11788617886178862,116
helpful,0.11788617886178862,116
report,0.11483739837398374,113
awesome,0.11483739837398374,113
keep track,0.11077235772357724,109
note,0.10975609756097561,108
diabetes,0.10467479674796748,103
well,0.10365853658536585,102
best,0.1016260162601626,100
useful,0.10060975609756098,99
tracking,0.09654471544715447,95
one,0.09247967479674797,91
problem,0.09146341463414634,90
information,0.09146341463414634,90
will,0.09044715447154472,89
one touch,0.08638211382113821,85
new,0.08434959349593496,83
wish,0.08333333333333333,82
day,0.08231707317073171,81
accurate,0.08028455284552846,79
thank,0.07926829268292683,78
take,0.0782520325203252,77
log,0.0782520325203252,77
show,0.07723577235772358,76
far,0.07520325203252033,74
using,0.07520325203252033,74
dr,0.07520325203252033,74
info,0.07317073170731707,72
meal,0.07317073170731707,72
used,0.07113821138211382,70
update,0.0701219512195122,69
give,0.06910569105691057,68
read,0.06808943089430894,67
tool,0.06808943089430894,67
feature,0.06707317073170732,66
sugar level,0.06605691056910569,65
monitor,0.06402439024390244,63
still,0.06097560975609756,60
syncing,0.059959349593495935,59
option,0.059959349593495935,59
test,0.05894308943089431,58
level,0.05894308943089431,58
device,0.05894308943089431,58
know,0.057926829268292686,57
a1c,0.056910569105691054,56
diabetic,0.05589430894308943,55
pair,0.054878048780487805,54
everything,0.054878048780487805,54
lot,0.05386178861788618,53
check,0.05386178861788618,53
easily,0.05386178861788618,53
share,0.05386178861788618,53
food,0.05386178861788618,53
connect,0.052845528455284556,52
send,0.051829268292682924,51
allow,0.051829268292682924,51
much,0.049796747967479675,49
issue,0.049796747967479675,49
keeping track,0.04878048780487805,48
add,0.046747967479674794,46
even,0.046747967479674794,46
set,0.046747967479674794,46
alway,0.046747967479674794,46
user friendly,0.046747967479674794,46
insulin,0.04573170731707317,45
high,0.04573170731707317,45
control,0.04573170731707317,45
change,0.044715447154471545,44
happy,0.04369918699186992,43
sometimes,0.04369918699186992,43
glucose,0.042682926829268296,42
convenient,0.042682926829268296,42
want,0.042682926829268296,42
first,0.042682926829268296,42
trend,0.042682926829268296,42
thing,0.041666666666666664,41
working,0.041666666666666664,41
understand,0.04065040650406504,40
glucose level,0.04065040650406504,40
go,0.039634146341463415,39
ok,0.039634146341463415,39
graph,0.039634146341463415,39
quick,0.03861788617886179,38
without,0.03861788617886179,38
simple,0.03861788617886179,38
easier,0.037601626016260166,37
right,0.037601626016260166,37
month,0.037601626016260166,37
many,0.036585365853658534,36
enter,0.036585365853658534,36
put,0.036585365853658534,36
star,0.036585365853658534,36
carb,0.036585365853658534,36
blood,0.03556910569105691,35
pattern,0.03556910569105691,35
daily,0.034552845528455285,34
fine,0.03353658536585366,33
fact,0.03353658536585366,33
recommend,0.03353658536585366,33
handy,0.03353658536585366,33
let,0.03353658536585366,33
email,0.03353658536585366,33
review,0.032520325203252036,32
download,0.032520325203252036,32
pretty,0.032520325203252036,32
android,0.032520325203252036,32
perfect,0.032520325203252036,32
print,0.032520325203252036,32
year,0.032520325203252036,32
seem,0.031504065040650404,31
write,0.031504065040650404,31
got,0.03048780487804878,30
turn,0.03048780487804878,30
try,0.03048780487804878,30
worked,0.03048780487804878,30
never,0.029471544715447155,29
week,0.029471544715447155,29
verio flex,0.029471544715447155,29
monitoring,0.028455284552845527,28
program,0.028455284552845527,28
health,0.028455284552845527,28
link,0.028455284552845527,28
ability,0.028455284552845527,28
works well,0.028455284552845527,28
available,0.027439024390243903,27
step,0.027439024390243903,27
stay,0.027439024390243903,27
keeping,0.027439024390243903,27
say,0.027439024390243903,27
manage,0.027439024390243903,27
manually,0.026422764227642278,26
back,0.026422764227642278,26
low,0.026422764227642278,26
life,0.026422764227642278,26
automatically,0.026422764227642278,26
find,0.026422764227642278,26
samsung,0.02540650406504065,25
range,0.02540650406504065,25
history,0.02540650406504065,25
think,0.02540650406504065,25
done,0.02540650406504065,25
support,0.02540650406504065,25
type,0.02540650406504065,25
blood glucose,0.02540650406504065,25
wonderful,0.024390243902439025,24
u,0.024390243902439025,24
old,0.024390243902439025,24
job,0.024390243902439025,24
average,0.024390243902439025,24
going,0.023373983739837397,23
testing,0.023373983739837397,23
product,0.023373983739837397,23
eat,0.023373983739837397,23
provide,0.023373983739837397,23
made,0.022357723577235773,22
two,0.022357723577235773,22
reminder,0.022357723577235773,22
unit,0.022357723577235773,22
fast,0.022357723577235773,22
exercise,0.022357723577235773,22
access,0.022357723577235773,22
add notes,0.022357723577235773,22
sugar reading,0.022357723577235773,22
machine,0.021341463414634148,21
application,0.021341463414634148,21
ease,0.021341463414634148,21
date,0.021341463414634148,21
apps,0.021341463414634148,21
overall,0.021341463414634148,21
took,0.021341463414634148,21
helping,0.021341463414634148,21
google fit,0.021341463414634148,21
quickly,0.02032520325203252,20
longer,0.02032520325203252,20
