reviewCreatedVersion,score,content,thumbsUpCount,sentiment_polarity,sentiment_subjectivity,sentiment_analysis,Keyword
3.92.9,4,"Easy to use, but need to have flexibility in in putting data, especially but a reading goes wrong difficult to correct the data, also the same with activity data. More graphic trend analysis would be good. But overall not bad. Great to keep a tab on one's diabetes.",1,0.1621212121212121,0.6159090909090911,Negative,use
3.92.9,5,It makes keeping track of your daily numbers so much easier and its really easy to use.,1,0.2111111111111111,0.3444444444444445,Negative,use
3.92.9,5,As a first time insulin user this app has made my life and ability to print reports so much easier.,1,0.225,0.26666666666666666,Negative,use
3.92.9,5,"Very convenient. Use it every day, multiple times per day.",1,0.1,0.15,Negative,use
3.92.9,1,Not friendly. This app is useless. It does not help you to track anything. I cannot even tap my arm for results.,1,-0.34375,0.35,Negative,use
3.92.9,2,"Can't use multiple meters of the same type in Android, is a fix planned?",1,0.0,0.0625,Negative,use
3.92.9,5,"Easy to use, although when I changed phones, could not enter pin to connect device. Several tries finally connected device with phone.",1,0.08333333333333334,0.5583333333333333,Negative,use
3.92.9,5,Very easy-to-use.,0,0.2,0.3,Negative,use
3.92.8,1,Not working again July 2021 what is the problem. This app is totally unreliable. Stopped working again. Has not worked since January 6th? Today is the 16th. Don't know why it works for a while then stops? If I wasn't so financially committed to the meter I would change it. Stopped working¡!!!!! Should not become useless like this Update November 16 still does not work. 16 days later. Still not working. Getting very disturbing!!!!!!!!!,34,-0.3,0.39,Negative,use
3.92.8,5,"I usually use an insulin pump/CGM/FGS. During an extended stay in hospital, and not able to control my insulin coverage, etc. I decided to use this app. I find it helpful with keeping me aware of how my regime is doing with MDI. I know that once the mySugr team has got approval for the insulin calculator to be allowed in Canada.This will save valuable time of transferring insulin doseages based on ISF, I:C, etc. to all be done in one step. I use Ypsomed app currently to figure out dose.",13,-0.0625,0.38125,Negative,use
3.92.9,5,This has been a lifesaver. Literally. Helped me to lose weight and get my blood sugar under control.,1,0.0,0.0,Negative,help
3.92.9,4,Helpful app beats finding paper and pen to keep track of numbers,1,0.0,0.0,Negative,help
3.92.9,5,I love this. It helps to track my b.s. levels ready for my next insulin adjustment. I can see first hand weather it's good or bad. Allows to to add so much more.,1,0.20714285714285716,0.45714285714285713,Negative,help
3.92.9,1,Not friendly. This app is useless. It does not help you to track anything. I cannot even tap my arm for results.,1,-0.34375,0.35,Negative,help
3.92.9,5,Such a helpful tool!!!,0,0.0,0.5,Negative,help
3.92.8,5,"I usually use an insulin pump/CGM/FGS. During an extended stay in hospital, and not able to control my insulin coverage, etc. I decided to use this app. I find it helpful with keeping me aware of how my regime is doing with MDI. I know that once the mySugr team has got approval for the insulin calculator to be allowed in Canada.This will save valuable time of transferring insulin doseages based on ISF, I:C, etc. to all be done in one step. I use Ypsomed app currently to figure out dose.",13,-0.0625,0.38125,Negative,help
3.92.8,3,I love that I can see my numbers and how well I am doing but all of a sudden it is uploading late and it has info from the day before like 2 Hypers I had from eating cake on my Birthday. I uninstalled and now have reinstalled to see if it helps and does not do it again. Well it did not work what a shame!! Now not even uploading. Now I am back to writing in a log book really 2 stars now. Disappointed ☹️ It is now July! Uploading better to my Motorola phone but still have to restart phone sometime,10,-0.02946428571428572,0.45000000000000007,Negative,help
3.92.8,5,As im new to diabetes this app has been a game changer for me so easy to use and has lots of helpful hints and information,1,0.05656565656565656,0.5626262626262627,Negative,help
3.92.8,4,So far this app is helping me to track my sugar levels to determine where my weaknesses are. With the easy to read log I can gauge when and how much I can eat without going over my goals.,1,0.24444444444444446,0.6777777777777779,Negative,help
3.92.8,5,"Has helped me keep readings low,great app,would recommend.",1,0.0,0.0,Negative,help
3.92.9,4,"Easy to use, but need to have flexibility in in putting data, especially but a reading goes wrong difficult to correct the data, also the same with activity data. More graphic trend analysis would be good. But overall not bad. Great to keep a tab on one's diabetes.",1,0.1621212121212121,0.6159090909090911,Negative,easy
3.92.9,5,Simple & easy to connect,1,0.21666666666666667,0.5952380952380952,Negative,easy
