Word,Percentage,Occurence
use,1.0,753
help,0.6852589641434262,516
easy,0.5976095617529881,450
blood sugar,0.5219123505976095,393
track,0.48871181938911024,368
keep,0.4847277556440903,365
time,0.4714475431606906,355
diabete,0.4581673306772908,345
make,0.45683930942895085,344
need,0.4409030544488712,332
helpful,0.43691899070385126,329
meter,0.4209827357237716,317
one,0.4063745019920319,306
work,0.4050464807436919,305
really,0.399734395750332,301
day,0.3745019920318725,282
data,0.3466135458167331,261
thank,0.33731739707835323,254
see,0.33067729083665337,249
will,0.3293492695883134,248
now,0.3280212483399734,247
keep track,0.29880478087649404,225
much,0.28021248339973437,211
way,0.28021248339973437,211
simple,0.2775564409030544,209
log,0.27622841965471445,208
thing,0.2695883134130146,203
reading,0.2682602921646746,202
using,0.2642762284196547,199
connect,0.2602921646746348,196
new,0.25232403718459495,190
sugar,0.24833997343957503,187
well,0.24833997343957503,187
little,0.24302788844621515,183
device,0.2403718459495352,181
far,0.23904382470119523,180
want,0.22576361221779548,170
number,0.22310756972111553,168
everything,0.22310756972111553,168
control,0.2204515272244356,166
doctor,0.21912350597609562,165
update,0.21646746347941567,163
feature,0.21646746347941567,163
carb,0.2151394422310757,162
food,0.21381142098273573,161
record,0.21381142098273573,161
wish,0.21381142098273573,161
give,0.20717131474103587,156
tracking,0.20318725099601595,153
take,0.20185922974767595,152
a1c,0.20053120849933598,151
insulin,0.19787516600265603,149
even,0.19654714475431606,148
diabetic,0.18857901726427623,142
report,0.18725099601593626,141
accu chek,0.17928286852589642,135
still,0.17795484727755645,134
know,0.17795484727755645,134
helped,0.17795484727755645,134
fun,0.16733067729083664,126
used,0.16733067729083664,126
sync,0.16600265604249667,125
option,0.16600265604249667,125
apps,0.16334661354581673,123
month,0.16069057104913678,121
sugar level,0.1593625498007968,120
able,0.15803452855245684,119
mysugr,0.15803452855245684,119
year,0.15405046480743692,116
find,0.15405046480743692,116
add,0.15272244355909695,115
daily,0.150066401062417,113
lot,0.1460823373173971,110
pro,0.1460823373173971,110
say,0.1460823373173971,110
email,0.1407702523240372,106
level,0.13678618857901725,103
back,0.13678618857901725,103
enter,0.1341301460823373,101
tried,0.1341301460823373,101
monster,0.13280212483399734,100
better,0.1301460823373174,98
put,0.1301460823373174,98
pay,0.1301460823373174,98
info,0.12881806108897742,97
problem,0.12881806108897742,97
type,0.12881806108897742,97
helping,0.12881806108897742,97
meal,0.12749003984063745,96
test,0.12616201859229748,95
week,0.12616201859229748,95
without,0.12350597609561753,93
free,0.12084993359893759,91
useful,0.12084993359893759,91
set,0.12084993359893759,91
monitor,0.11952191235059761,90
show,0.11952191235059761,90
got,0.11952191235059761,90
issue,0.11686586985391766,88
let,0.11686586985391766,88
easier,0.11553784860557768,87
result,0.11420982735723771,86
allow,0.11420982735723771,86
average,0.11288180610889774,85
go,0.11155378486055777,84
working,0.11155378486055777,84
information,0.11155378486055777,84
made,0.10889774236387782,82
support,0.10889774236387782,82
bad,0.10889774236387782,82
seem,0.10756972111553785,81
star,0.10624169986719788,80
really help,0.1049136786188579,79
change,0.10358565737051793,78
bluetooth,0.10358565737051793,78
hard,0.10358565737051793,78
accu check,0.10358565737051793,78
found,0.10225763612217796,77
going,0.10225763612217796,77
yet,0.10225763612217796,77
always,0.099601593625498,75
u,0.09428950863213811,71
something,0.09428950863213811,71
send,0.09296148738379814,70
trying,0.09296148738379814,70
note,0.09296148738379814,70
etc,0.09163346613545817,69
understand,0.09163346613545817,69
testing,0.09163346613545817,69
enough,0.0903054448871182,68
needed,0.0903054448871182,68
graph,0.0903054448871182,68
nice,0.0903054448871182,68
life,0.0903054448871182,68
logging,0.08897742363877822,67
actually,0.08897742363877822,67
never,0.08764940239043825,66
please,0.08764940239043825,66
different,0.08764940239043825,66
think,0.08764940239043825,66
first,0.0849933598937583,64
sure,0.0849933598937583,64
upgrade,0.0849933598937583,64
manage,0.0849933598937583,64
blood,0.08366533864541832,63
pair,0.08366533864541832,63
glucose level,0.08366533864541832,63
getting,0.08233731739707835,62
input,0.08100929614873838,61
many,0.08100929614873838,61
keeping,0.07835325365205843,59
connection,0.07835325365205843,59
high,0.07835325365205843,59
keeping track,0.07835325365205843,59
works well,0.07835325365205843,59
difficult,0.07436918990703852,56
try,0.07436918990703852,56
look,0.07436918990703852,56
medication,0.07436918990703852,56
challenge,0.07436918990703852,56
much easier,0.07436918990703852,56
entries,0.07304116865869854,55
less,0.07171314741035857,54
started,0.0703851261620186,53
especially,0.0703851261620186,53
low,0.0703851261620186,53
read,0.0703851261620186,53
bit,0.0703851261620186,53
subscription,0.06905710491367861,52
last,0.06905710491367861,52
point,0.06905710491367861,52
feel,0.06905710491367861,52
downloaded,0.06905710491367861,52
blood glucose,0.06905710491367861,52
automatically,0.06772908366533864,51
stay,0.06772908366533864,51
review,0.06772908366533864,51
tool,0.06772908366533864,51
may,0.06772908366533864,51
useless,0.06772908366533864,51
download,0.06772908366533864,51
dr,0.06772908366533864,51
pro version,0.06772908366533864,51
right,0.06640106241699867,50
unable,0.06640106241699867,50
convenient,0.0650730411686587,49
date,0.06374501992031872,48
health,0.06374501992031872,48
start,0.06374501992031872,48
two,0.06241699867197875,47
wrong,0.06241699867197875,47
user friendly,0.06241699867197875,47
setting,0.06108897742363878,46
money,0.06108897742363878,46
transfer,0.06108897742363878,46
annoying,0.06108897742363878,46
im,0.06108897742363878,46
account,0.06108897742363878,46
manually,0.06108897742363878,46
ability,0.06108897742363878,46
