Word,Percentage,Occurence
easy,1.0,3183
use,0.8309770656613258,2645
track,0.2786679233427584,887
help,0.27835375431982406,886
keep,0.24976437323279924,795
blood sugar,0.2412818096135721,768
diabete,0.19352811812755263,616
keep track,0.18567389255419417,591
nice,0.16808042726987119,535
awesome,0.1624253848570531,517
make,0.15739868049010367,501
way,0.15739868049010367,501
work,0.15457115928369464,492
excellent,0.14671693371033617,467
fun,0.14483191957273012,461
best,0.14388941250392712,458
thank,0.1429469054351241,455
far,0.14074772227458374,448
need,0.14011938422871506,446
really,0.13352183474709395,425
helpful,0.12880929940307886,410
see,0.1284951303801445,409
doctor,0.12221174992145774,389
tracking,0.11624253848570532,370
sugar,0.10933081998114987,348
log,0.10713163682060949,341
able,0.10493245366006912,334
better,0.10493245366006912,334
useful,0.10147659440779139,323
using,0.0999057492931197,318
everything,0.09864907320138235,314
one,0.097392397109645,310
feature,0.09676405906377632,308
record,0.09582155199497329,305
number,0.09330819981149858,297
sugar level,0.09330819981149858,297
time,0.08985234055922087,286
report,0.08985234055922087,286
diabetic,0.08953817153628653,285
control,0.08671065032987747,276
day,0.08545397423814012,272
wish,0.08388312912346843,267
data,0.08325479107759975,265
much,0.08168394596292805,260
food,0.08105560791705937,258
reading,0.08105560791705937,258
meter,0.08074143889412504,257
lot,0.07571473452717561,241
give,0.07540056550424128,240
now,0.07508639648130694,239
thing,0.07131636820609488,227
will,0.06817467797675149,217
well,0.06817467797675149,217
tool,0.06786050895381715,216
used,0.0666038328620798,212
carb,0.06534715677034245,208
information,0.06377631165567076,203
level,0.06346214263273642,202
info,0.06189129751806472,197
user friendly,0.061262959472196045,195
meal,0.060320452403393024,192
a1c,0.05937794533459001,189
set,0.058749607288721334,187
insulin,0.0568645931511153,181
option,0.0568645931511153,181
helped,0.05623625510524662,179
amazing,0.055922086082312285,178
result,0.05435124096764059,173
keeping track,0.05435124096764059,173
found,0.053408733898837574,170
add,0.053094564875903236,169
simple,0.05246622683003456,167
monitor,0.05215205780710022,166
new,0.05215205780710022,166
even,0.050581212692428525,161
perfect,0.05026704366949419,160
want,0.05026704366949419,160
connect,0.04963870562362551,158
free,0.049010367577756835,156
take,0.04806786050895382,153
mysugr,0.047753691486019476,152
show,0.047753691486019476,152
helping,0.04743952246308514,151
device,0.046497015394282123,148
apps,0.04555450832547911,145
check,0.04524033930254477,144
happy,0.04398366321080741,140
manage,0.041784480050267046,133
understand,0.041784480050267046,133
type,0.04115614200439836,131
monster,0.04115614200439836,131
wonderful,0.040841972981464025,130
sync,0.04052780395852969,129
update,0.03958529688972667,126
dr,0.03958529688972667,126
know,0.039271127866792335,125
year,0.039271127866792335,125
accu chek,0.039271127866792335,125
fantastic,0.03864278982092366,123
pro,0.038014451775054976,121
keeping,0.03770028275212064,120
graph,0.03770028275212064,120
still,0.0373861137291863,119
easily,0.0373861137291863,119
glucose level,0.03707194470625196,118
life,0.036757775683317624,117
find,0.036443606660383286,116
blood glucose,0.036443606660383286,116
logging,0.034872761545711596,111
made,0.03455859252277725,110
look,0.03455859252277725,110
got,0.03424442349984291,109
pretty,0.033930254476908575,108
stay,0.0333019164310399,106
many,0.0333019164310399,106
accurate,0.03298774740810556,105
month,0.032359409362236885,103
brilliant,0.032359409362236885,103
think,0.03173107131636821,101
enter,0.03173107131636821,101
recommend,0.031416902293433864,100
challenge,0.03078856424756519,98
health,0.030160226201696512,96
week,0.030160226201696512,96
easier,0.030160226201696512,96
quick,0.030160226201696512,96
little,0.029846057178762174,95
u,0.029846057178762174,95
convenient,0.029531888155827836,94
progress,0.029531888155827836,94
go,0.028903550109959156,92
exercise,0.028903550109959156,92
job,0.028903550109959156,92
without,0.028903550109959156,92
application,0.02858938108702482,91
going,0.02858938108702482,91
always,0.02858938108702482,91
allow,0.02858938108702482,91
much easier,0.02827521206409048,90
handy,0.027961043041156142,89
needed,0.027961043041156142,89
med,0.027961043041156142,89
really help,0.027961043041156142,89
interface,0.027332704995287466,87
monitoring,0.027332704995287466,87
daily,0.027332704995287466,87
absolutely,0.027018535972353125,86
free version,0.027018535972353125,86
high,0.026704366949418787,85
bg,0.026704366949418787,85
test,0.02639019792648445,84
tried,0.02639019792648445,84
note,0.02607602890355011,83
put,0.02607602890355011,83
super easy,0.02607602890355011,83
team,0.025761859880615773,82
available,0.02544769085768143,81
pro version,0.02544769085768143,81
etc,0.025133521834747093,80
bluetooth,0.024819352811812755,79
highly recommend,0.024819352811812755,79
looking,0.024505183788878417,78
eat,0.02419101476594408,77
right,0.023876845743009738,76
send,0.0235626767200754,75
email,0.023248507697141062,74
issue,0.023248507697141062,74
star,0.023248507697141062,74
pay,0.023248507697141062,74
trend,0.023248507697141062,74
super,0.022934338674206724,73
detail,0.022620169651272386,72
making,0.022306000628338044,71
testing,0.022306000628338044,71
problem,0.022306000628338044,71
read,0.022306000628338044,71
weight,0.022306000628338044,71
average,0.022306000628338044,71
one place,0.022306000628338044,71
say,0.021991831605403706,70
change,0.021991831605403706,70
input,0.021991831605403706,70
never,0.021991831605403706,70
type diabetes,0.021677662582469368,69
diet,0.02136349355953503,68
tracker,0.02136349355953503,68
logbook,0.02136349355953503,68
bit,0.021049324536600692,67
cool,0.021049324536600692,67
let,0.020735155513666354,66
reminder,0.020735155513666354,66
much better,0.020735155513666354,66
top,0.020420986490732013,65
glucose,0.020420986490732013,65
first,0.020420986490732013,65
seem,0.020420986490732013,65
log book,0.020420986490732013,65
managing,0.020106817467797675,64
feel,0.020106817467797675,64
impressed,0.020106817467797675,64
